file,centroid_y,centroid_x,gold_diameter_nm,gold_radius_px,capsid_diameter_nm,capsid_radius_px,has_capsid
VLP17_0001.dm4,129.32355212355213,4053.1637065637065,14.35719434703274,20.302987529130018,14.85008454322815,21.0,True
VLP17_0001.dm4,111.71428571428571,1931.9285714285713,1.4927899854769269,2.111004122822376,14.85008454322815,21.0,True
VLP17_0001.dm4,131.57550077041603,613.5015408320493,14.373814681766644,20.32649089898599,14.85008454322815,21.0,True
VLP17_0001.dm4,112.6923076923077,1204.1538461538462,1.4384884236492994,2.0342144725641096,61.52177882194519,87.0,True
VLP17_0001.dm4,133.44607087827427,1252.0123266563944,14.373814681766644,20.32649089898599,14.85008454322815,21.0,True
VLP17_0001.dm4,114.875,3554.875,1.1284431603484772,1.5957691216057308,4.2428812980651855,6.0,True
VLP17_0001.dm4,115.16666666666667,3571.8333333333335,0.9772604435885781,1.381976597885342,6.364321947097778,9.0,True
VLP17_0001.dm4,116.83333333333333,2227.3333333333335,0.9772604435885781,1.381976597885342,12.021497011184692,17.0,True
VLP17_0001.dm4,122.63636363636364,1840.3863636363637,2.6464337916817278,3.742410318509555,45.25740051269531,64.0,True
VLP17_0001.dm4,118.875,2303.125,1.1284431603484772,1.5957691216057308,7.071468830108643,10.0,True
VLP17_0001.dm4,141.63163371488034,99.17689906347555,12.367912068422797,17.489877089980446,15.557231426239014,22.0,True
VLP17_0001.dm4,123.66666666666667,1281.1666666666667,0.9772604435885781,1.381976597885342,3.5357344150543213,5.0,True
VLP17_0001.dm4,124.0,3611.714285714286,1.055561921618103,1.4927053303604616,16.971525192260742,24.0,True
VLP17_0001.dm4,128.45454545454547,1192.8181818181818,1.3232168958408639,1.8712051592547776,55.864603757858276,79.0,True
VLP17_0001.dm4,154.0999412110523,1142.148736037625,16.45458190899832,23.26897325621885,16.971525192260742,24.0,True
VLP17_0001.dm4,134.83333333333334,1841.1666666666667,0.9772604435885781,1.381976597885342,24.042994022369385,34.0,True
VLP17_0001.dm4,136.73076923076923,3607.1153846153848,2.0343298380415336,2.876813695875796,16.264378309249878,23.0,True
VLP17_0001.dm4,158.95255474452554,3567.366788321168,13.208088558182995,18.677998695187732,13.435790777206421,19.0,True
VLP17_0001.dm4,143.76923076923077,1911.3846153846155,1.4384884236492994,2.0342144725641096,20.507259607315063,29.0,True
VLP17_0001.dm4,143.0,2294.285714285714,1.055561921618103,1.4927053303604616,4.95002818107605,7.0,True
VLP17_0001.dm4,147.42857142857142,1192.4285714285713,1.4927899854769269,2.111004122822376,52.328869342803955,74.0,True
