file,centroid_y,centroid_x,gold_diameter_nm,gold_radius_px,capsid_diameter_nm,ring_contrast,peak_prominence,wall_radius_cv,is_reliable,overlapping
VLP20_0003.dm4,654.3209459459459,1550.9365615615616,20.592155320017067,29.120053859730724,37.408674887427836,0.3242865211517927,0.3242865211517927,0.30579014496048673,False,False
VLP20_0003.dm4,659.2809119010819,2811.1155332302937,20.296298013317685,28.701672171559103,38.014025991795414,0.39696821721893566,0.39696821721893566,0.07992501893322443,True,False
VLP20_0003.dm4,682.9703918722787,2178.624383164006,23.416894978153216,33.11461245286073,41.07267858221157,0.2803494211200102,0.2803494211200102,0.28228242096026973,False,False
VLP20_0003.dm4,676.3894538606403,814.4116760828625,20.5573418457203,29.070822964236225,39.18291458259367,0.20405166319052115,0.20405166319052115,0.3308766023081306,False,False
VLP20_0003.dm4,681.7033965244866,1367.6137440758293,20.075508095249855,28.38944578214513,33.663285181342026,0.16267173977832894,0.16267173977832894,0.13712555853457373,True,False
VLP20_0003.dm4,695.2016539440203,2273.718193384224,22.3705140462159,31.634890266315733,39.4995248668052,0.36782529341599746,0.36782529341599746,0.07764055766103765,True,False
VLP20_0003.dm4,714.4864314789688,401.14857530529173,21.661994172318945,30.632948674096244,38.58724939991045,0.3616362932866763,0.3616362932866763,0.06560680236185584,True,False
VLP20_0003.dm4,731.7286869943995,1440.2265090230242,22.618178715264495,31.985121137721258,41.66307207845566,0.3360676642550896,0.3360676642550896,0.25870450364671044,False,False
VLP20_0003.dm4,735.5653324512074,1097.1369500496196,21.935814692053654,31.02016740660178,40.29582252913207,0.40510994626677654,0.40510994626677654,0.07415517024481443,True,False
VLP20_0003.dm4,735.8249893025246,3675.405220367993,19.286972056490537,27.27435066159264,35.33628827938074,0.19035576124143683,0.19035576124143683,0.09483422392602656,True,False
VLP20_0003.dm4,748.1206781914893,2440.432845744681,21.88132471464215,30.943111311580196,34.984749426125795,0.26246381742085706,0.26246381742085706,0.30177747124091575,False,False
VLP20_0003.dm4,775.1867364746946,249.5525305410122,21.35487374987045,30.1986394381694,36.401305180533534,0.42617364864306345,0.42617364864306345,0.0367490684175819,True,False
VLP20_0003.dm4,804.9140173410404,3484.21676300578,20.99025612715318,29.683021493047715,37.96281461720663,0.33972088060221445,0.33972088060221445,0.05903519055085397,True,False
VLP20_0003.dm4,833.395255327704,1895.3092078809811,19.896312232997364,28.13603893477345,39.840791660582084,0.1971489451263475,0.1971489451263475,0.07428309315105482,True,False
VLP20_0003.dm4,853.6278990450205,984.8144611186904,21.603129948905682,30.549706811864404,40.057261185017765,0.318626513342415,0.318626513342415,0.08481035988015176,False,True
VLP20_0003.dm4,871.6218424962852,1204.8566121842496,20.700089483023685,29.2726871606753,37.74237951866883,0.4754709160197609,0.4754709160197609,0.03834422189948682,True,False
VLP20_0003.dm4,874.8653549382716,339.2029320987654,20.311976886272593,28.723844188903154,39.65057871435537,0.2947155476889897,0.2947155476889897,0.29958883837912853,False,False
VLP20_0003.dm4,910.8066536203522,725.6093933463796,20.166482196582706,28.518095294033667,37.4958289981812,0.19664948594038212,0.19664948594038212,0.292355271781221,False,False
