 ,Area,Mean,Min,Max,Angle,Length
167,7.572E-6,1899.980,1574.536,2270.581,5.042,0.032
168,6.584E-6,1999.221,1731.031,2295.071,-32.619,0.028
169,7.078E-6,2031.798,1716.000,2255.000,0.000,0.030
170,7.133E-6,2001.881,1693.240,2404.341,29.745,0.030
171,7.407E-6,1959.829,1639.000,2347.729,17.354,0.031
172,7.517E-6,1966.462,1647.823,2309.118,3.366,0.032
173,6.969E-6,1991.040,1640.000,2329.568,-9.162,0.029
174,6.749E-6,1981.743,1679.162,2237.820,27.408,0.028
175,6.749E-6,2008.466,1756.296,2313.387,27.408,0.028
176,7.627E-6,1833.832,1476.000,2091.932,35.538,0.032
177,6.639E-6,1840.481,1533.000,2104.933,178.091,0.028
178,5.981E-6,1810.950,1628.383,2066.235,21.801,0.025
179,6.694E-6,1837.307,1603.000,2122.093,5.711,0.028
180,6.530E-6,1819.187,1569.530,2096.510,-9.782,0.028
181,6.859E-6,1802.685,1623.000,2062.291,20.772,0.029
182,6.365E-6,1847.669,1553.087,2097.153,-20.323,0.027
183,6.859E-6,1814.145,1560.000,2047.277,29.055,0.029
184,6.420E-6,1834.223,1506.655,2099.517,-3.945,0.027
185,6.255E-6,1842.748,1657.150,2030.540,6.116,0.026
186,6.694E-6,1833.684,1554.339,1991.851,-17.241,0.028
187,5.871E-6,1858.084,1589.703,2094.907,24.624,0.025
188,6.200E-6,1749.536,1529.875,2016.857,14.534,0.026
189,6.365E-6,1824.730,1647.600,2023.093,14.036,0.027
190,6.530E-6,1800.748,1633.754,2004.000,17.819,0.028
191,6.639E-6,1826.348,1540.200,2107.467,-3.814,0.028
192,6.859E-6,1837.128,1514.000,2016.334,29.055,0.029
193,7.023E-6,1744.779,1411.686,2048.539,24.146,0.030
194,6.584E-6,1849.675,1565.000,2037.022,19.654,0.028
195,6.420E-6,1738.846,1538.414,2023.483,3.945,0.027
196,7.023E-6,1789.247,1376.802,1995.803,-133.727,0.030
197,6.036E-6,1765.100,1535.145,1971.810,-61.557,0.026
198,6.749E-6,1798.502,1440.003,2021.241,-133.668,0.028
199,5.981E-6,1821.114,1653.624,1985.174,-105.068,0.025
200,6.584E-6,1772.807,1596.474,1927.756,-19.654,0.028
201,7.243E-6,1799.134,1504.518,2113.904,12.339,0.031
202,6.584E-6,1830.748,1684.744,2049.630,-32.619,0.028
203,7.243E-6,1772.774,1563.285,2012.582,12.339,0.031
204,6.914E-6,1818.522,1570.605,2009.427,-16.699,0.029
205,6.584E-6,1812.243,1483.000,1992.449,13.570,0.028
206,6.859E-6,1768.670,1489.419,2041.581,-1.848,0.029
207,6.749E-6,1812.398,1606.992,2004.980,23.199,0.029
208,6.420E-6,1810.898,1583.034,2028.455,15.945,0.027
209,6.475E-6,1822.715,1600.994,2078.677,-67.834,0.027
210,6.914E-6,1805.552,1570.531,1984.960,-5.528,0.029
211,6.749E-6,1834.502,1646.115,2014.923,11.310,0.029
212,6.694E-6,1825.922,1634.881,1948.306,-5.711,0.028
213,7.188E-6,1780.718,1559.536,1923.244,8.881,0.030
214,6.749E-6,1766.392,1529.000,1940.253,-31.608,0.029
215,7.407E-6,1815.750,1626.723,1948.760,67.249,0.031
216,7.078E-6,1813.789,1543.953,2005.781,14.470,0.030
217,7.023E-6,1796.872,1578.040,1953.506,24.146,0.030
218,6.694E-6,1809.287,1667.468,1991.373,5.711,0.028
219,6.749E-6,1818.735,1599.580,1979.995,43.668,0.028
220,6.859E-6,1845.360,1503.000,1989.000,0.000,0.029
221,6.639E-6,1809.079,1587.533,2028.900,29.982,0.028
222,6.749E-6,1808.524,1558.000,1950.192,43.668,0.028
223,6.475E-6,1815.443,1657.388,1967.889,22.166,0.027
224,6.639E-6,1800.080,1613.000,1965.111,21.448,0.028
225,6.639E-6,1815.434,1649.440,1987.907,25.710,0.028
226,6.969E-6,1795.258,1537.727,1966.827,52.765,0.029
227,6.365E-6,1829.247,1641.000,1981.127,-12.095,0.027
228,6.914E-6,1728.036,1514.948,1943.509,26.565,0.029
229,6.859E-6,1794.353,1543.685,1956.668,20.772,0.029
230,6.969E-6,1829.841,1590.000,1963.333,149.349,0.029
231,6.091E-6,1826.382,1570.000,2002.529,-46.469,0.026
232,7.078E-6,1791.137,1538.062,1934.938,3.576,0.030
233,6.804E-6,1812.505,1608.309,2036.694,24.905,0.029
234,6.969E-6,1827.509,1608.000,1969.138,10.954,0.030
235,6.914E-6,1759.000,1573.099,1896.640,16.699,0.029
236,7.023E-6,1806.980,1583.605,2059.722,12.724,0.030
237,6.749E-6,1809.143,1447.000,1984.380,43.668,0.028
238,6.859E-6,1784.130,1556.000,2022.419,-1.848,0.029
239,6.914E-6,1871.595,1648.000,2015.470,47.603,0.029
240,6.859E-6,1800.845,1519.806,2015.903,-3.691,0.029
241,7.517E-6,1784.645,1501.204,1976.062,47.386,0.032
242,6.749E-6,1759.624,1546.141,1907.025,48.991,0.029
243,6.639E-6,1767.886,1583.133,1954.800,3.814,0.028
244,6.969E-6,1810.501,1607.748,1945.122,55.305,0.030
245,6.475E-6,1784.323,1515.186,1939.341,22.166,0.027
246,2.839,1974.205,1774.000,2175.303,41.730,29.034
247,2.896,1992.950,1717.000,2254.035,33.690,29.560
248,2.934,1968.339,1672.000,2295.664,40.236,29.918
249,2.982,1938.836,1646.308,2220.154,30.018,30.435
250,3.086,1956.958,1584.000,2188.732,21.801,31.536
