file,centroid_y,centroid_x,diameter_nm
VLP17_0001.dm4,2680.3431621759023,3693.5632943568885,17.694442140796603
VLP17_0001.dm4,2711.9313388916134,1976.2265816576753,18.015375054914454
VLP17_0001.dm4,2769.714805194805,3754.575584415584,17.504514184968915
VLP17_0001.dm4,2801.5474683544303,2957.7331223628694,17.372161637934713
VLP17_0001.dm4,2825.8526734926054,2170.1296928327647,16.728004261078567
VLP17_0001.dm4,2905.132837407014,1276.51912858661,17.307905073514537
VLP17_0001.dm4,2915.3715455475945,3573.5455475946774,17.635873489255516
VLP17_0001.dm4,2948.5461309523807,3201.535714285714,14.626295030220728
VLP17_0001.dm4,2967.7245409015027,3876.086811352254,16.912535983511813
VLP17_0001.dm4,3024.714285714286,4078.5785714285716,14.927899854769269
VLP17_0001.dm4,3042.725988700565,1986.0762711864406,16.784999329993095
VLP17_0001.dm4,3090.836086404066,1450.191867852605,15.8284015408223
VLP17_0001.dm4,3187.3957468879667,3470.197614107884,17.518148756049523
VLP17_0001.dm4,3217.9292875989445,3117.9725593667545,17.36757976745071
VLP17_0001.dm4,3416.9953088350276,3982.1172791243157,14.268225593471472
VLP17_0001.dm4,3483.7898120672603,1070.6899109792284,17.94011698515905
VLP17_0001.dm4,3526.4271717831484,1212.2292619203135,15.610696862072428
VLP17_0001.dm4,3587.658360655738,3150.2072131147543,15.58007761678083
VLP17_0001.dm4,3594.316468253968,3524.8204365079364,12.666743059417234
VLP17_0001.dm4,3635.757094211124,1576.9438138479002,16.74702416973629
VLP17_0001.dm4,3701.390718562874,3101.134730538922,14.582699419000663
VLP17_0001.dm4,3723.132768361582,3346.3813559322034,16.784999329993095
VLP17_0001.dm4,3748.766666666667,3932.3560975609757,13.992240163519336
VLP17_0001.dm4,3772.626809314034,1204.9452485840152,15.903643930684979
VLP17_0001.dm4,3803.2268226822684,3495.2997299729973,13.29816522296636
VLP17_0001.dm4,3810.0287581699345,725.1183006535948,15.605597826541311
VLP17_0001.dm4,3882.633938495739,2866.9384957391626,20.72698520228057
VLP17_0001.dm4,3880.337550316274,3382.605520414031,16.637362760939208
VLP17_0001.dm4,3909.241237113402,3769.913402061856,17.572581250012345
VLP17_0001.dm4,3919.4148887880165,3232.0381298229686,18.72586739446394
VLP17_0001.dm4,3935.5228178998673,413.53345148427115,18.953982469298484
VLP17_0001.dm4,4075.5370938074802,3723.688534641324,16.1124534474497
VLP17_0002.dm4,65.45501432664757,3528.05558739255,16.666039649949525
VLP17_0002.dm4,79.35310936383131,1935.8162973552537,14.922567509589403
VLP17_0002.dm4,97.88948306595366,3609.67082590612,16.36728908146141
VLP17_0002.dm4,111.44289693593315,3160.385329619313,18.51644223068938
VLP17_0002.dm4,128.12284577993813,2393.574458683164,18.979159344425064
VLP17_0002.dm4,131.02721482339317,2685.9959467284307,16.579860183061886
VLP17_0002.dm4,179.59415911379656,2468.799597180262,17.77969543028155
VLP17_0002.dm4,181.75232678386763,3655.7269906928645,17.545386111843833
VLP17_0002.dm4,186.11460895228726,829.981308411215,17.988849334924986
VLP17_0002.dm4,201.77409406322283,170.0408635312259,14.368276706341758
VLP17_0002.dm4,232.53517587939697,3294.2663316582916,15.918649731095742
VLP17_0002.dm4,257.6992225461613,3826.614674441205,18.09911669913231
VLP17_0002.dm4,256.58956276445696,651.8554301833568,15.023558433268372
VLP17_0002.dm4,275.5583796664019,2255.5897537728356,20.019930153267328
VLP17_0002.dm4,308.8491761723701,2792.2877059569073,15.84850110643194
